COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
1201008012,1,2021-12-27,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-09-18,1,1,1,NO APLICA,11
1201008047,1,2021-06-21,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-02-18,1,1,1,NO APLICA,11
1201008081,1,2021-05-02,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-03-07,1,1,1,NO APLICA,11
120100750,1,2021-04-13,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-03-09,1,1,1,NO APLICA,11
120100900,2,2021-10-03,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-04-02,1,1,1,NO APLICA,11
120100742,1,2022-02-25,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-02-10,1,1,1,NO APLICA,11
1201008051,1,2021-07-07,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-02-19,1,1,1,NO APLICA,11
120100728,1,2021-10-20,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-01-09,1,1,1,NO APLICA,11
120100759,2,2022-01-03,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-03-13,1,1,1,NO APLICA,11
120100739,1,2021-12-07,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-02-09,1,1,1,NO APLICA,11
120100733,2,2022-01-01,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2024-02-28,1,1,1,NO APLICA,11
120100765,2,2021-05-22,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2023-03-20,1,1,1,NO APLICA,11
120100946,2,2022-02-24,3,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100933,2,2021-10-01,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,1,1,NO APLICA,11
120100940,2,2021-11-09,4,2,PERÚ,3,10,6,CEDIF AÑO NUEVO,2025-01-14,1,4,1,NO APLICA,11
